ID,RANK,TITULO,TITULO COMPLETO,ANO DE LANÇAMENTO,DIRETOR,ELENCO,NOTA DO PUBLICO,NUMERO DE VOTOS,MEDIA DE VOTOS
3011894,182,Wild Tales,Wild Tales (2014),2014,Damián Szifron ," Darío Grandinetti, María Marull",8.1,173556,0.12967239512182066
77416,183,The Deer Hunter,The Deer Hunter (1978),1978,Michael Cimino ," Robert De Niro, Christopher Walken",8.1,307577,0.2298062082231916
4729430,184,Klaus,Klaus (2019),2019,Sergio Pablos ," Jason Schwartzman, J.K. Simmons",8.1,79045,0.059058485286618244
107207,185,In the Name of the Father,In the Name of the Father (1993),1993,Jim Sheridan ," Daniel Day-Lewis, Pete Postlethwaite",8.1,154746,0.11561850040056963
978762,186,Mary and Max,Mary and Max (2009),2009,Adam Elliot ," Toni Collette, Philip Seymour Hoffman",8.1,162638,0.1215150095520908
2267998,187,Gone Girl,Gone Girl (2014),2014,David Fincher ," Ben Affleck, Rosamund Pike",8.1,844670,0.6310953351514684
6148156,188,Vikram Vedha,Vikram Vedha (2017),2017,Gayatri ," Madhavan, Vijay Sethupathi",8.1,26056,0.019467744862143397
2278388,189,The Grand Budapest Hotel,The Grand Budapest Hotel (2014),2014,Wes Anderson ," Ralph Fiennes, F. Murray Abraham",8.1,695893,0.5199365741231023
2119532,190,Hacksaw Ridge,Hacksaw Ridge (2016),2016,Mel Gibson ," Andrew Garfield, Sam Worthington",8.1,426086,0.31835022786810063
112471,191,Before Sunrise,Before Sunrise (1995),1995,Richard Linklater ," Ethan Hawke, Julie Delpy",8.1,267027,0.19950926877892097
8108198,192,Andhadhun,Andhadhun (2018),2018,Sriram Raghavan ," Ayushmann Khurrana, Tabu",8.1,68571,0.051232834392924274
264464,193,Catch Me If You Can,Catch Me If You Can (2002),2002,Steven Spielberg ," Leonardo DiCaprio, Tom Hanks",8.1,813484,0.6077947099108021
60827,194,Persona,Persona (1966),1966,Ingmar Bergman ," Bibi Andersson, Liv Ullmann",8.1,100848,0.07534860047042666
118715,195,The Big Lebowski,The Big Lebowski (1998),1998,Joel Coen ," Jeff Bridges, John Goodman",8.1,722745,0.5399990505215624
1392214,196,Prisoners,Prisoners (2013),2013,Denis Villeneuve ," Hugh Jackman, Jake Gyllenhaal",8.1,589950,0.44078124353014647
35446,197,To Be or Not to Be,To Be or Not to Be (1942),1942,Ernst Lubitsch ," Carole Lombard, Jack Benny",8.1,28765,0.0214917746760652
15324,198,Sherlock Jr.,Sherlock Jr. (1924),1924,Buster Keaton ," Buster Keaton, Kathryn McGuire",8.1,40797,0.030481485536569857
116231,199,The Bandit,The Bandit (1996),1996,Yavuz Turgul ," Sener Sen, Ugur Yücel",8.1,62920,0.047010688775178944
17925,200,The General,The General (1926),1926,Clyde Bruckman ," Buster Keaton, Marion Mack",8.1,79862,0.05966890697653117
892769,201,How to Train Your Dragon,How to Train Your Dragon (2010),2010,Dean DeBlois ," Jay Baruchel, Gerard Butler",8.1,658170,0.4917518282129613
1950186,202,Ford v Ferrari,Ford v Ferrari (2019),2019,James Mangold ," Matt Damon, Christian Bale",8.1,272714,0.20375831180283135
31679,203,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington (1939),1939,Frank Capra ," James Stewart, Jean Arthur",8.1,105651,0.07893716274295026
2024544,204,12 Years a Slave,12 Years a Slave (2013),2013,Steve McQueen ," Chiwetel Ejiofor, Michael Kenneth Williams",8.1,631490,0.4718178616439566
72684,205,Barry Lyndon,Barry Lyndon (1975),1975,Stanley Kubrick ," Ryan O'Neal, Marisa Berenson",8.1,147313,0.11006493317765313
1392190,206,Mad Max: Fury Road,Mad Max: Fury Road (2015),2015,George Miller ," Tom Hardy, Charlize Theron",8.1,867471,0.6481311062061864
405159,207,Million Dollar Baby,Million Dollar Baby (2004),2004,Clint Eastwood ," Hilary Swank, Clint Eastwood",8.1,628939,0.4699118815570926
74958,208,Network,Network (1976),1976,Sidney Lumet ," Faye Dunaway, William Holden",8.1,143344,0.10709949414795376
92005,209,Stand by Me,Stand by Me (1986),1986,Rob Reiner ," Wil Wheaton, River Phoenix",8.1,359243,0.26840846897109993
97165,210,Dead Poets Society,Dead Poets Society (1989),1989,Peter Weir ," Robin Williams, Robert Sean Leonard",8.1,417164,0.3116841540401899
61512,211,Cool Hand Luke,Cool Hand Luke (1967),1967,Stuart Rosenberg ," Paul Newman, George Kennedy",8.1,159817,0.11940729891898876
52618,212,Ben-Hur,Ben-Hur (1959),1959,William Wyler ," Charlton Heston, Jack Hawkins",8.1,216847,0.16201727318549314
1028532,213,Hachi: A Dog's Tale,Hachi: A Dog's Tale (2009),2009,Lasse Hallström ," Richard Gere, Joan Allen",8.1,249075,0.18609642890460418
1201607,214,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2 (2011),2011,David Yates ," Daniel Radcliffe, Emma Watson",8.1,752311,0.5620892924848004
91763,215,Platoon,Platoon (1986),1986,Oliver Stone ," Charlie Sheen, Tom Berenger",8.1,376830,0.28154859903290974
758758,216,Into the Wild,Into the Wild (2007),2007,Sean Penn ," Emile Hirsch, Vince Vaughn",8.1,565707,0.4226680819284831
3315342,217,Logan,Logan (2017),2017,James Mangold ," Hugh Jackman, Patrick Stewart",8.0,636599,0.47563505186888333
46268,218,The Wages of Fear,The Wages of Fear (1953),1953,Henri-Georges Clouzot ," Yves Montand, Charles Vanel",8.0,53715,0.04013317144880383
79470,219,Monty Python's Life of Brian,Monty Python's Life of Brian (1979),1979,Terry Jones ," Graham Chapman, John Cleese",8.0,363011,0.2712237308163777
